date_downloaded,date_published,comic_name,comic_num,file_size
2023-08-26 23:23:30.633065,15-12-2010,Wikileaks,834,36845
2023-08-26 23:23:30.750511,26-9-2011,Sharing,956,42214
2023-08-26 23:23:30.810390,1-3-2017,Unpublished Discoveries,1805,41136
2023-08-26 23:23:30.911880,3-11-2010,Diode,814,23596
2023-08-26 23:23:30.920891,1-5-2013,Einstein,1206,17599
2023-08-26 23:23:30.934703,7-2-2011,Archimedes,857,16954
2023-08-26 23:23:31.033635,6-6-2018,Presidential Succession,2003,101353
2023-08-26 23:23:31.058815,27-3-2009,Well,561,44382
2023-08-26 23:23:31.105407,27-11-2017,The Moon and the Great Wall,1921,18815
2023-08-26 23:23:31.169484,22-1-2020,Solar System Changes,2258,98219
2023-08-26 23:25:40.519342,13-12-2013,Profile Info,1303,20620
2023-08-26 23:25:40.523841,6-6-2012,Shoes,1065,31437
2023-08-26 23:25:40.714685,16-7-2012,Geology,1082,37364
2023-08-26 23:25:40.807630,9-5-2018,Research Areas by Size and Countedness,1991,33731
2023-08-26 23:25:40.815919,10-6-2020,Dynamic Entropy,2318,41554
2023-08-26 23:25:40.884770,26-12-2016,Dear Diary,1777,12143
2023-08-26 23:25:40.909326,18-3-2013,Aspect Ratio,1187,14253
2023-08-26 23:25:40.975848,24-2-2014,Second,1334,27783
2023-08-26 23:25:40.986235,28-10-2015,Launch Status Check,1596,55155
2023-08-26 23:25:41.033185,29-1-2010,Spirit,695,279945
2023-08-26 23:25:45.818880,11-12-2013,Year in Review,1302,40943
2023-08-26 23:25:45.928767,28-5-2014,Urn,1374,23365
2023-08-26 23:25:46.138059,9-7-2021,Danger Mnemonic,2487,12001
2023-08-26 23:25:46.144084,6-3-2020,Business Greetings,2277,23931
2023-08-26 23:25:46.337339,27-1-2010,Retro Virus,694,46083
2023-08-26 23:25:46.347659,2-10-2009,Surgery,644,67485
2023-08-26 23:25:46.378675,26-8-2019,How to Send a File,2194,93753
2023-08-26 23:25:46.441280,30-7-2014,New,1401,25597
2023-08-26 23:25:46.600751,17-8-2007,Nighttime Stories,304,161400
2023-08-26 23:25:46.646327,20-6-2012,Exoplanets,1071,200797
2023-08-26 23:25:49.443173,19-10-2011,Jet Fuel,966,32317
2023-08-26 23:25:49.449089,12-3-2008,Morning,395,34680
2023-08-26 23:25:49.453392,1-10-2014,Move Fast and Break Things,1428,19265
2023-08-26 23:25:49.556478,21-10-2020,Worst Ladder,2375,33948
2023-08-26 23:25:49.588621,4-12-2019,AI Hiring Algorithm,2237,33340
2023-08-26 23:25:49.598566,24-3-2006,My Other Car,80,32693
2023-08-26 23:25:49.819198,7-8-2023,Solar Panel Placement,2812,27669
2023-08-26 23:25:49.827896,29-9-2017,Active Ingredients Only,1896,21477
2023-08-26 23:25:49.836916,25-3-2022,Graphic Designers,2598,50845
2023-08-26 23:25:50.644892,2-5-2007,Online Communities,256,474111
